date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:37	23446/23446	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jun%202018%2008:04:33%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html	(from )
10:27:37	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2020%20Jul%202020%2004:57:38%20GMT	https://d29u17ylf1ylz9.cloudfront.net/robots.txt		(from )
10:27:37	5854/5854	---M--	200	added ('OK')	binary/octet-stream	etag:%22fd99dc69d420fbef7649122e6916c5a9%22	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/images/favicon.ico	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/images/favicon.ico	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:38	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2020%20Jul%202020%2004:57:38%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/favicon.ico	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/favicon.ico	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:40	110143/110143	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Jun%202018%2008:45:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/bootstrap.min.css	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/bootstrap.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:41	70824/70824	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Jun%202018%2008:45:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/animate.css	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/animate.css	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:41	27466/27466	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Jun%202018%2008:45:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/font-awesome.min.css	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/font-awesome.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:42	9239/9239	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Jun%202018%2008:45:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/style.css	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/style.css	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:43	1183/1183	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Jun%202018%2008:45:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/responsive.css	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/css/responsive.css	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
10:27:44	15514/15514	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20Jun%202018%2009:39:52%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/js/vendor/modernizr-2.8.3.min.js	C:/Users/ronak/Desktop/tasnm%20temp/d29u17ylf1ylz9.cloudfront.net/tasnm-preview/js/vendor/modernizr-2.8.3.min.js	(from https://d29u17ylf1ylz9.cloudfront.net/tasnm-preview/index.html)
